id,parentId,name,massKg,meanRadiusM,albedo,gm,equatorialRadiusM,densityKgM3,siderealRotationPeriodS,orbitRotationPeriodS,equatorialGravity,escapeVelocityM
0,0,Solar System Barycenter (SSB),1.989e+030,0.0,0.0,1.327178151e+020,0.0,0.0,0.0,0.0,0.0,0.0,
10,0,Sun,1.989e+030,695700000.0,0.0,1.327178151e+020,695700000.0,0.0,2164320.0,0.0,0.0,0.0,
1,1,Mercury Barycenter,3.30114e+023,0.0,0.0,22027153752600.0,0.0,0.0,0.0,7600543.819920001,0.0,0.0,
2,2,Venus Barycenter,4.86747e+024,0.0,0.0,324786316473000.0,0.0,0.0,0.0,19414149.052176,0.0,0.0,
3,3,Earth-Moot Barycenter,5.97237e+024,0.0,0.0,398511763382999.9,0.0,0.0,0.0,31558149.10224,0.0,0.0,
4,4,Mars Barycenter,6.417119999999999e+023,0.0,0.0,42818810740799.99,0.0,0.0,0.0,59355036.22176,0.0,0.0,
5,5,Jupiter Barycenter,1.898187e+027,0.0,0.0,1.266582359433e+017,0.0,0.0,0.0,374355659.124,0.0,0.0,
6,6,Saturn Barycenter,5.68336e+026,0.0,0.0,3.79227311024e+016,0.0,0.0,0.0,929292362.8848001,0.0,0.0,
7,7,Uranus Barycenter,8.68127e+025,0.0,0.0,5792655538930000.0,0.0,0.0,0.0,2651370019.3296,0.0,0.0,
8,8,Neptune Barycenter,1.024126e+026,0.0,0.0,6833572906339999.0,0.0,0.0,0.0,5200418560.032001,0.0,0.0,
9,9,Pluto-Charon Barycenter,1.303e+022,0.0,0.0,869438477000.0,0.0,0.0,0.0,7823780704.44,0.0,0.0,
199,1,Mercury,3.30114e+023,2439400.0,0.106,22027153752600.0,2440530.0,5429.1,5067031.680000001,7600543.819920001,3.7,4250.0,
299,2,Venus,4.86747e+024,6051800.0,0.65,324786316473000.0,6051800.0,5243.0,-20996755.2,19414149.052176,8.869999999999999,10360.0,
399,3,Earth,5.97237e+024,6371008.399999999,0.367,398511763382999.9,6378136.6,5513.6,86164.10035200001,31558149.10224,9.800000000000001,11190.0,
